article_id,topic_id,category_label,percentage
1718,2,education_social,68.73
1720,0,local_politics,20.36
1720,2,education_social,31.52
1720,3,crime_news,47.56
1721,0,local_politics,82.03
1722,3,crime_news,96.98
1723,3,crime_news,97.91
1724,3,crime_news,97.6
1725,3,crime_news,80.51
1726,0,local_politics,84.94
1727,0,local_politics,97.78
1728,1,justice,41.21
1728,3,crime_news,37.42
1729,3,crime_news,96.78
1730,3,crime_news,81.31
1731,2,education_social,94.44
1732,1,justice,34.49
1732,4,sport_cultural_events,61.79
1733,0,local_politics,52.46
1733,1,justice,32.29
1734,0,local_politics,83.28
1735,0,local_politics,94.71
1736,0,local_politics,42.44
1736,1,justice,22.17
1736,2,education_social,22.19
1737,2,education_social,63.8
1737,3,crime_news,25.36
1738,3,crime_news,87.4
1739,3,crime_news,95.12
1740,0,local_politics,44.94
1740,4,sport_cultural_events,27.23
1741,0,local_politics,32.29
1741,3,crime_news,54.99
1742,0,local_politics,30.52
1742,3,crime_news,55.79
1743,3,crime_news,87.4
1744,3,crime_news,97.6
1745,3,crime_news,80.2
1746,3,crime_news,96.98
1747,2,education_social,55.92
1747,3,crime_news,41.12
1748,2,education_social,87.46
1749,0,local_politics,82.43
1750,2,education_social,94.92
1751,0,local_politics,33.34
1751,2,education_social,32.28
1751,3,crime_news,33.24
1752,0,local_politics,65.61
1752,2,education_social,32.72
1753,4,sport_cultural_events,76.97
1754,0,local_politics,42.42
1754,1,justice,54.91
1755,2,education_social,90.45
1756,0,local_politics,96.64
1757,0,local_politics,52.82
1757,3,crime_news,45.42
1758,0,local_politics,49.39
1758,1,justice,48.51
1759,0,local_politics,52.41
1759,2,education_social,38.42
1760,1,justice,88.14
1761,2,education_social,96.21
1762,1,justice,50.94
1762,3,crime_news,47.35
1763,1,justice,46.71
1763,3,crime_news,51.57
1764,0,local_politics,85.26
1765,0,local_politics,94.09
1766,0,local_politics,97.66
1767,0,local_politics,90.7
1768,0,local_politics,97.07
1769,0,local_politics,60.12
1769,1,justice,37.01
1770,0,local_politics,76.99
1771,0,local_politics,69.14
1771,1,justice,22.99
1772,0,local_politics,82.03
1773,2,education_social,92.65
1774,0,local_politics,96.87
1775,0,local_politics,67.29
1775,2,education_social,30.54
1776,0,local_politics,73.56
1777,0,local_politics,54.74
1777,3,crime_news,43.97
1779,3,crime_news,95.95
1780,0,local_politics,69.64
1780,3,crime_news,28.71
1781,0,local_politics,27.64
1781,3,crime_news,70.29
1782,4,sport_cultural_events,87.28
1783,0,local_politics,62.12
1783,4,sport_cultural_events,35.94
1784,0,local_politics,93.27
1785,0,local_politics,86.1
1786,0,local_politics,95.7
1787,0,local_politics,46.53
1787,2,education_social,45.77
1788,0,local_politics,27.46
1788,4,sport_cultural_events,70.85
1789,0,local_politics,74.79
1789,3,crime_news,23.84
1790,1,justice,25.36
1790,3,crime_news,73.61
1792,3,crime_news,95.57
1793,0,local_politics,49.45
1793,3,crime_news,49.38
1794,3,crime_news,96.78
1795,4,sport_cultural_events,82.87
1796,4,sport_cultural_events,87.12
1797,0,local_politics,89.34
1798,0,local_politics,65.2
1798,2,education_social,32.48
1799,0,local_politics,45.09
1799,1,justice,53.18
1800,1,justice,80.61
1801,0,local_politics,97.66
1802,0,local_politics,97.25
1803,0,local_politics,82.03
1804,0,local_politics,69.14
1804,3,crime_news,29.5
1805,2,education_social,86.12
1806,0,local_politics,25.46
1806,2,education_social,63.8
1807,0,local_politics,49.1
1807,3,crime_news,49.0
1808,0,local_politics,78.96
1809,0,local_politics,33.34
1809,3,crime_news,64.75
1810,3,crime_news,96.27
1811,4,sport_cultural_events,90.21
1812,4,sport_cultural_events,79.4
1813,0,local_politics,67.19
1813,4,sport_cultural_events,25.79
1814,3,crime_news,86.02
1815,3,crime_news,46.0
1815,4,sport_cultural_events,25.99
1816,1,justice,72.44
1817,0,local_politics,71.58
1817,2,education_social,26.11
1818,1,justice,44.41
1818,3,crime_news,50.75
1819,0,local_politics,54.28
1819,4,sport_cultural_events,43.87
1820,4,sport_cultural_events,96.88
1821,0,local_politics,23.07
1821,4,sport_cultural_events,74.56
1822,0,local_politics,28.04
1822,4,sport_cultural_events,71.58
1823,0,local_politics,61.9
1823,1,justice,25.53
1824,1,justice,82.68
1825,1,justice,93.92
1826,3,crime_news,88.39
1827,3,crime_news,95.95
1828,2,education_social,26.2
1828,4,sport_cultural_events,56.17
1829,1,justice,32.74
1829,4,sport_cultural_events,43.61
1830,0,local_politics,71.58
1830,4,sport_cultural_events,25.99
1831,4,sport_cultural_events,96.32
1832,0,local_politics,96.57
1833,0,local_politics,91.43
1834,0,local_politics,90.06
1835,3,crime_news,90.61
1836,2,education_social,95.32
1837,2,education_social,93.16
1838,0,local_politics,25.46
