article_id,topic_id,category_label,percentage
2084,0,local_politics,26.97
2084,4,sport_cultural_events,70.6
2085,1,justice,69.81
2086,0,local_politics,85.38
2087,0,local_politics,64.86
2087,1,justice,32.05
2088,0,local_politics,72.74
2088,1,justice,24.17
2089,1,justice,94.66
2090,4,sport_cultural_events,97.03
2091,0,local_politics,61.85
2091,3,crime_news,36.08
2092,1,justice,46.97
2092,3,crime_news,43.86
2093,0,local_politics,95.29
2094,0,local_politics,53.3
2094,3,crime_news,44.63
2095,0,local_politics,62.84
2095,3,crime_news,35.52
