Agent,Session,% of correct suggested site,Legend_info
Min d-sw TS,7,0.010769370831006373,
Min d-sw TS,7,0.010769370831006373,
Min d-sw TS,7,0.010853616943795613,
Min d-sw TS,7,0.010843290000937578,
Min d-sw TS,7,0.010844648809208372,
Min d-sw TS,7,0.010776708395668662,
Mean d-sw TS,1,0.009771733798589284,
Mean d-sw TS,1,0.009697271105349764,
Mean d-sw TS,1,0.009743742348210925,
Mean d-sw TS,1,0.00975868923918966,
Mean d-sw TS,1,0.009696455820387287,
Mean d-sw TS,1,0.009659224473767526,
Mean d-sw TS,1,0.009732600120390412,
Mean d-sw TS,1,0.009742111778285972,
Mean d-sw TS,1,0.009739122400090224,
Mean d-sw TS,1,0.009701347530162146,
Mean d-sw TS,2,0.00985706695799516,
Mean d-sw TS,2,0.009822281466262829,
Mean d-sw TS,2,0.009841848305362265,
Mean d-sw TS,2,0.009814128616638064,
Mean d-sw TS,2,0.00984320711363306,
Mean d-sw TS,2,0.009830706077541752,
Mean d-sw TS,2,0.009802171103855076,
Mean d-sw TS,2,0.009839130688820677,
Mean d-sw TS,2,0.009830977839195912,
Mean d-sw TS,2,0.009837771880549883,
Mean d-sw TS,3,0.00984565296852049,
Mean d-sw TS,3,0.009885330170027679,
Mean d-sw TS,3,0.009901092345968891,
Mean d-sw TS,3,0.009858697527920113,
Mean d-sw TS,3,0.009921474470030804,
Mean d-sw TS,3,0.009883156076794408,
Mean d-sw TS,3,0.009914952190330992,
Mean d-sw TS,3,0.009852990533182778,
Mean d-sw TS,3,0.009924463848226551,
Mean d-sw TS,3,0.009872829133936372,
Mean d-sw TS,4,0.010670721350546716,
Mean d-sw TS,4,0.010717464355062037,
Mean d-sw TS,4,0.010697353992654283,
Mean d-sw TS,4,0.01065360036633471,
Mean d-sw TS,4,0.010680233008442275,
Mean d-sw TS,4,0.010760402696419133,
Mean d-sw TS,4,0.010661481454305316,
Mean d-sw TS,4,0.010692190521225265,
Mean d-sw TS,4,0.010607129123473549,
Mean d-sw TS,4,0.010690559951300312,
Mean d-sw TS,5,0.010647893371597376,
Mean d-sw TS,5,0.010822364353567348,
Mean d-sw TS,5,0.010601422128736214,
Mean d-sw TS,5,0.010616912543023266,
Mean d-sw TS,5,0.010815842073867534,
Mean d-sw TS,5,0.010785948291910064,
Mean d-sw TS,5,0.010748173421981986,
Mean d-sw TS,5,0.010839213576125195,
